"replacecolumns","from","to"
"label_cause","I20","cvd_ihd"
"label_cause","I21","cvd_ihd"
"label_cause","I22","cvd_ihd"
"label_cause","I23","cvd_ihd"
"label_cause","I24","cvd_ihd"
"label_cause","I25","cvd_ihd"
"label_cause","G45","cvd_stroke"
"label_cause","G46","cvd_stroke"
"label_cause","I61","cvd_stroke"
"label_cause","I62","cvd_stroke"
"label_cause","I63","cvd_stroke"
"label_cause","I65","cvd_stroke"
"label_cause","I66","cvd_stroke"
"label_cause","I67","cvd_stroke"
"label_cause","I68","cvd_stroke"
"label_cause","I69","cvd_stroke"
"label_cause","C33","neo_lung"
"label_cause","C34","neo_lung"
"label_cause","D02","neo_lung"
"label_cause","D14","neo_lung"
"label_cause","D38","neo_lung"
"label_cause","J41","resp_copd"
"label_cause","J42","resp_copd"
"label_cause","J43","resp_copd"
"label_cause","J44","resp_copd"
"label_cause","A48","lri"
"label_cause","A70","lri"
"label_cause","B97","lri"
"label_cause","J09","lri"
"label_cause","J10","lri"
"label_cause","J11","lri"
"label_cause","J12","lri"
"label_cause","J13","lri"
"label_cause","J14","lri"
"label_cause","J15","lri"
"label_cause","J16","lri"
"label_cause","J20","lri"
"label_cause","J21","lri"
"label_cause","P23","lri"
"label_cause","U04","lri"
"label_cause","E11","t2_dm"
"label_cause","C00","ncd_lri"
"label_cause","C01","ncd_lri"
"label_cause","C02","ncd_lri"
"label_cause","C03","ncd_lri"
"label_cause","C04","ncd_lri"
"label_cause","C05","ncd_lri"
"label_cause","C06","ncd_lri"
"label_cause","C07","ncd_lri"
"label_cause","C08","ncd_lri"
"label_cause","C09","ncd_lri"
"label_cause","C10","ncd_lri"
"label_cause","C11","ncd_lri"
"label_cause","C12","ncd_lri"
"label_cause","C13","ncd_lri"
"label_cause","C14","ncd_lri"
"label_cause","C15","ncd_lri"
"label_cause","C16","ncd_lri"
"label_cause","C17","ncd_lri"
"label_cause","C18","ncd_lri"
"label_cause","C19","ncd_lri"
"label_cause","C20","ncd_lri"
"label_cause","C21","ncd_lri"
"label_cause","C22","ncd_lri"
"label_cause","C23","ncd_lri"
"label_cause","C24","ncd_lri"
"label_cause","C25","ncd_lri"
"label_cause","C26","ncd_lri"
"label_cause","C27","ncd_lri"
"label_cause","C28","ncd_lri"
"label_cause","C29","ncd_lri"
"label_cause","C30","ncd_lri"
"label_cause","C31","ncd_lri"
"label_cause","C32","ncd_lri"
"label_cause","C33","ncd_lri"
"label_cause","C34","ncd_lri"
"label_cause","C35","ncd_lri"
"label_cause","C36","ncd_lri"
"label_cause","C37","ncd_lri"
"label_cause","C38","ncd_lri"
"label_cause","C39","ncd_lri"
"label_cause","C40","ncd_lri"
"label_cause","C41","ncd_lri"
"label_cause","C42","ncd_lri"
"label_cause","C43","ncd_lri"
"label_cause","C44","ncd_lri"
"label_cause","C45","ncd_lri"
"label_cause","C46","ncd_lri"
"label_cause","C47","ncd_lri"
"label_cause","C48","ncd_lri"
"label_cause","C49","ncd_lri"
"label_cause","C50","ncd_lri"
"label_cause","C51","ncd_lri"
"label_cause","C52","ncd_lri"
"label_cause","C53","ncd_lri"
"label_cause","C54","ncd_lri"
"label_cause","C55","ncd_lri"
"label_cause","C56","ncd_lri"
"label_cause","C57","ncd_lri"
"label_cause","C58","ncd_lri"
"label_cause","C59","ncd_lri"
"label_cause","C60","ncd_lri"
"label_cause","C61","ncd_lri"
"label_cause","C62","ncd_lri"
"label_cause","C63","ncd_lri"
"label_cause","C64","ncd_lri"
"label_cause","C65","ncd_lri"
"label_cause","C66","ncd_lri"
"label_cause","C67","ncd_lri"
"label_cause","C68","ncd_lri"
"label_cause","C69","ncd_lri"
"label_cause","C70","ncd_lri"
"label_cause","C71","ncd_lri"
"label_cause","C72","ncd_lri"
"label_cause","C73","ncd_lri"
"label_cause","C74","ncd_lri"
"label_cause","C75","ncd_lri"
"label_cause","C76","ncd_lri"
"label_cause","C77","ncd_lri"
"label_cause","C78","ncd_lri"
"label_cause","C79","ncd_lri"
"label_cause","C80","ncd_lri"
"label_cause","C81","ncd_lri"
"label_cause","C82","ncd_lri"
"label_cause","C83","ncd_lri"
"label_cause","C84","ncd_lri"
"label_cause","C85","ncd_lri"
"label_cause","C86","ncd_lri"
"label_cause","C87","ncd_lri"
"label_cause","C88","ncd_lri"
"label_cause","C89","ncd_lri"
"label_cause","C90","ncd_lri"
"label_cause","C91","ncd_lri"
"label_cause","C92","ncd_lri"
"label_cause","C93","ncd_lri"
"label_cause","C94","ncd_lri"
"label_cause","C95","ncd_lri"
"label_cause","C96","ncd_lri"
"label_cause","C97","ncd_lri"
"label_cause","D00","ncd_lri"
"label_cause","D01","ncd_lri"
"label_cause","D02","ncd_lri"
"label_cause","D03","ncd_lri"
"label_cause","D04","ncd_lri"
"label_cause","D05","ncd_lri"
"label_cause","D06","ncd_lri"
"label_cause","D07","ncd_lri"
"label_cause","D08","ncd_lri"
"label_cause","D09","ncd_lri"
"label_cause","D10","ncd_lri"
"label_cause","D11","ncd_lri"
"label_cause","D12","ncd_lri"
"label_cause","D13","ncd_lri"
"label_cause","D14","ncd_lri"
"label_cause","D15","ncd_lri"
"label_cause","D16","ncd_lri"
"label_cause","D17","ncd_lri"
"label_cause","D18","ncd_lri"
"label_cause","D19","ncd_lri"
"label_cause","D20","ncd_lri"
"label_cause","D21","ncd_lri"
"label_cause","D22","ncd_lri"
"label_cause","D23","ncd_lri"
"label_cause","D24","ncd_lri"
"label_cause","D25","ncd_lri"
"label_cause","D26","ncd_lri"
"label_cause","D27","ncd_lri"
"label_cause","D28","ncd_lri"
"label_cause","D29","ncd_lri"
"label_cause","D30","ncd_lri"
"label_cause","D31","ncd_lri"
"label_cause","D32","ncd_lri"
"label_cause","D33","ncd_lri"
"label_cause","D34","ncd_lri"
"label_cause","D35","ncd_lri"
"label_cause","D36","ncd_lri"
"label_cause","D37","ncd_lri"
"label_cause","D38","ncd_lri"
"label_cause","D39","ncd_lri"
"label_cause","D40","ncd_lri"
"label_cause","D41","ncd_lri"
"label_cause","D42","ncd_lri"
"label_cause","D43","ncd_lri"
"label_cause","D44","ncd_lri"
"label_cause","D45","ncd_lri"
"label_cause","D46","ncd_lri"
"label_cause","D47","ncd_lri"
"label_cause","D48","ncd_lri"
"label_cause","D55","ncd_lri"
"label_cause","D56","ncd_lri"
"label_cause","D57","ncd_lri"
"label_cause","D58","ncd_lri"
"label_cause","D59","ncd_lri"
"label_cause","D60","ncd_lri"
"label_cause","D61","ncd_lri"
"label_cause","D62","ncd_lri"
"label_cause","D63","ncd_lri"
"label_cause","D64","ncd_lri"
"label_cause","D65","ncd_lri"
"label_cause","D66","ncd_lri"
"label_cause","D67","ncd_lri"
"label_cause","D68","ncd_lri"
"label_cause","D69","ncd_lri"
"label_cause","D70","ncd_lri"
"label_cause","D71","ncd_lri"
"label_cause","D72","ncd_lri"
"label_cause","D73","ncd_lri"
"label_cause","D74","ncd_lri"
"label_cause","D75","ncd_lri"
"label_cause","D76","ncd_lri"
"label_cause","D77","ncd_lri"
"label_cause","D78","ncd_lri"
"label_cause","D79","ncd_lri"
"label_cause","D80","ncd_lri"
"label_cause","D81","ncd_lri"
"label_cause","D82","ncd_lri"
"label_cause","D83","ncd_lri"
"label_cause","D84","ncd_lri"
"label_cause","D85","ncd_lri"
"label_cause","D86","ncd_lri"
"label_cause","D87","ncd_lri"
"label_cause","D88","ncd_lri"
"label_cause","D89","ncd_lri"
"label_cause","E03","ncd_lri"
"label_cause","E04","ncd_lri"
"label_cause","E05","ncd_lri"
"label_cause","E06","ncd_lri"
"label_cause","E07","ncd_lri"
"label_cause","E10","ncd_lri"
"label_cause","E11","ncd_lri"
"label_cause","E12","ncd_lri"
"label_cause","E13","ncd_lri"
"label_cause","E14","ncd_lri"
"label_cause","E15","ncd_lri"
"label_cause","E16","ncd_lri"
"label_cause","E20","ncd_lri"
"label_cause","E21","ncd_lri"
"label_cause","E22","ncd_lri"
"label_cause","E23","ncd_lri"
"label_cause","E24","ncd_lri"
"label_cause","E25","ncd_lri"
"label_cause","E26","ncd_lri"
"label_cause","E27","ncd_lri"
"label_cause","E28","ncd_lri"
"label_cause","E29","ncd_lri"
"label_cause","E30","ncd_lri"
"label_cause","E31","ncd_lri"
"label_cause","E32","ncd_lri"
"label_cause","E33","ncd_lri"
"label_cause","E34","ncd_lri"
"label_cause","E65","ncd_lri"
"label_cause","E66","ncd_lri"
"label_cause","E67","ncd_lri"
"label_cause","E68","ncd_lri"
"label_cause","E69","ncd_lri"
"label_cause","E70","ncd_lri"
"label_cause","E71","ncd_lri"
"label_cause","E72","ncd_lri"
"label_cause","E73","ncd_lri"
"label_cause","E74","ncd_lri"
"label_cause","E75","ncd_lri"
"label_cause","E76","ncd_lri"
"label_cause","E77","ncd_lri"
"label_cause","E78","ncd_lri"
"label_cause","E79","ncd_lri"
"label_cause","E80","ncd_lri"
"label_cause","E81","ncd_lri"
"label_cause","E82","ncd_lri"
"label_cause","E83","ncd_lri"
"label_cause","E84","ncd_lri"
"label_cause","E85","ncd_lri"
"label_cause","E86","ncd_lri"
"label_cause","E87","ncd_lri"
"label_cause","E88","ncd_lri"
"label_cause","F01","ncd_lri"
"label_cause","F02","ncd_lri"
"label_cause","F03","ncd_lri"
"label_cause","F04","ncd_lri"
"label_cause","F05","ncd_lri"
"label_cause","F06","ncd_lri"
"label_cause","F07","ncd_lri"
"label_cause","F08","ncd_lri"
"label_cause","F09","ncd_lri"
"label_cause","F10","ncd_lri"
"label_cause","F11","ncd_lri"
"label_cause","F12","ncd_lri"
"label_cause","F13","ncd_lri"
"label_cause","F14","ncd_lri"
"label_cause","F15","ncd_lri"
"label_cause","F16","ncd_lri"
"label_cause","F17","ncd_lri"
"label_cause","F18","ncd_lri"
"label_cause","F19","ncd_lri"
"label_cause","F20","ncd_lri"
"label_cause","F21","ncd_lri"
"label_cause","F22","ncd_lri"
"label_cause","F23","ncd_lri"
"label_cause","F24","ncd_lri"
"label_cause","F25","ncd_lri"
"label_cause","F26","ncd_lri"
"label_cause","F27","ncd_lri"
"label_cause","F28","ncd_lri"
"label_cause","F29","ncd_lri"
"label_cause","F30","ncd_lri"
"label_cause","F31","ncd_lri"
"label_cause","F32","ncd_lri"
"label_cause","F33","ncd_lri"
"label_cause","F34","ncd_lri"
"label_cause","F35","ncd_lri"
"label_cause","F36","ncd_lri"
"label_cause","F37","ncd_lri"
"label_cause","F38","ncd_lri"
"label_cause","F39","ncd_lri"
"label_cause","F40","ncd_lri"
"label_cause","F41","ncd_lri"
"label_cause","F42","ncd_lri"
"label_cause","F43","ncd_lri"
"label_cause","F44","ncd_lri"
"label_cause","F45","ncd_lri"
"label_cause","F46","ncd_lri"
"label_cause","F47","ncd_lri"
"label_cause","F48","ncd_lri"
"label_cause","F49","ncd_lri"
"label_cause","F50","ncd_lri"
"label_cause","F51","ncd_lri"
"label_cause","F52","ncd_lri"
"label_cause","F53","ncd_lri"
"label_cause","F54","ncd_lri"
"label_cause","F55","ncd_lri"
"label_cause","F56","ncd_lri"
"label_cause","F57","ncd_lri"
"label_cause","F58","ncd_lri"
"label_cause","F59","ncd_lri"
"label_cause","F60","ncd_lri"
"label_cause","F61","ncd_lri"
"label_cause","F62","ncd_lri"
"label_cause","F63","ncd_lri"
"label_cause","F64","ncd_lri"
"label_cause","F65","ncd_lri"
"label_cause","F66","ncd_lri"
"label_cause","F67","ncd_lri"
"label_cause","F68","ncd_lri"
"label_cause","F69","ncd_lri"
"label_cause","F70","ncd_lri"
"label_cause","F71","ncd_lri"
"label_cause","F72","ncd_lri"
"label_cause","F73","ncd_lri"
"label_cause","F74","ncd_lri"
"label_cause","F75","ncd_lri"
"label_cause","F76","ncd_lri"
"label_cause","F77","ncd_lri"
"label_cause","F78","ncd_lri"
"label_cause","F79","ncd_lri"
"label_cause","F80","ncd_lri"
"label_cause","F81","ncd_lri"
"label_cause","F82","ncd_lri"
"label_cause","F83","ncd_lri"
"label_cause","F84","ncd_lri"
"label_cause","F85","ncd_lri"
"label_cause","F86","ncd_lri"
"label_cause","F87","ncd_lri"
"label_cause","F88","ncd_lri"
"label_cause","F89","ncd_lri"
"label_cause","F90","ncd_lri"
"label_cause","F91","ncd_lri"
"label_cause","F92","ncd_lri"
"label_cause","F93","ncd_lri"
"label_cause","F94","ncd_lri"
"label_cause","F95","ncd_lri"
"label_cause","F96","ncd_lri"
"label_cause","F97","ncd_lri"
"label_cause","F98","ncd_lri"
"label_cause","F99","ncd_lri"
"label_cause","F01","ncd_lri"
"label_cause","F02","ncd_lri"
"label_cause","F03","ncd_lri"
"label_cause","F04","ncd_lri"
"label_cause","F05","ncd_lri"
"label_cause","F06","ncd_lri"
"label_cause","F07","ncd_lri"
"label_cause","F08","ncd_lri"
"label_cause","F09","ncd_lri"
"label_cause","F10","ncd_lri"
"label_cause","F11","ncd_lri"
"label_cause","F12","ncd_lri"
"label_cause","F13","ncd_lri"
"label_cause","F14","ncd_lri"
"label_cause","F15","ncd_lri"
"label_cause","F16","ncd_lri"
"label_cause","F17","ncd_lri"
"label_cause","F18","ncd_lri"
"label_cause","F19","ncd_lri"
"label_cause","F20","ncd_lri"
"label_cause","F21","ncd_lri"
"label_cause","F22","ncd_lri"
"label_cause","F23","ncd_lri"
"label_cause","F24","ncd_lri"
"label_cause","F25","ncd_lri"
"label_cause","F26","ncd_lri"
"label_cause","F27","ncd_lri"
"label_cause","F28","ncd_lri"
"label_cause","F29","ncd_lri"
"label_cause","F30","ncd_lri"
"label_cause","F31","ncd_lri"
"label_cause","F32","ncd_lri"
"label_cause","F33","ncd_lri"
"label_cause","F34","ncd_lri"
"label_cause","F35","ncd_lri"
"label_cause","F36","ncd_lri"
"label_cause","F37","ncd_lri"
"label_cause","F38","ncd_lri"
"label_cause","F39","ncd_lri"
"label_cause","F40","ncd_lri"
"label_cause","F41","ncd_lri"
"label_cause","F42","ncd_lri"
"label_cause","F43","ncd_lri"
"label_cause","F44","ncd_lri"
"label_cause","F45","ncd_lri"
"label_cause","F46","ncd_lri"
"label_cause","F47","ncd_lri"
"label_cause","F48","ncd_lri"
"label_cause","F49","ncd_lri"
"label_cause","F50","ncd_lri"
"label_cause","F51","ncd_lri"
"label_cause","F52","ncd_lri"
"label_cause","F53","ncd_lri"
"label_cause","F54","ncd_lri"
"label_cause","F55","ncd_lri"
"label_cause","F56","ncd_lri"
"label_cause","F57","ncd_lri"
"label_cause","F58","ncd_lri"
"label_cause","F59","ncd_lri"
"label_cause","F60","ncd_lri"
"label_cause","F61","ncd_lri"
"label_cause","F62","ncd_lri"
"label_cause","F63","ncd_lri"
"label_cause","F64","ncd_lri"
"label_cause","F65","ncd_lri"
"label_cause","F66","ncd_lri"
"label_cause","F67","ncd_lri"
"label_cause","F68","ncd_lri"
"label_cause","F69","ncd_lri"
"label_cause","F70","ncd_lri"
"label_cause","F71","ncd_lri"
"label_cause","F72","ncd_lri"
"label_cause","F73","ncd_lri"
"label_cause","F74","ncd_lri"
"label_cause","F75","ncd_lri"
"label_cause","F76","ncd_lri"
"label_cause","F77","ncd_lri"
"label_cause","F78","ncd_lri"
"label_cause","F79","ncd_lri"
"label_cause","F80","ncd_lri"
"label_cause","F81","ncd_lri"
"label_cause","F82","ncd_lri"
"label_cause","F83","ncd_lri"
"label_cause","F84","ncd_lri"
"label_cause","F85","ncd_lri"
"label_cause","F86","ncd_lri"
"label_cause","F87","ncd_lri"
"label_cause","F88","ncd_lri"
"label_cause","F89","ncd_lri"
"label_cause","F90","ncd_lri"
"label_cause","F91","ncd_lri"
"label_cause","F92","ncd_lri"
"label_cause","F93","ncd_lri"
"label_cause","F94","ncd_lri"
"label_cause","F95","ncd_lri"
"label_cause","F96","ncd_lri"
"label_cause","F97","ncd_lri"
"label_cause","F98","ncd_lri"
"label_cause","F99","ncd_lri"
"label_cause","G06","ncd_lri"
"label_cause","G07","ncd_lri"
"label_cause","G08","ncd_lri"
"label_cause","G09","ncd_lri"
"label_cause","G10","ncd_lri"
"label_cause","G11","ncd_lri"
"label_cause","G12","ncd_lri"
"label_cause","G13","ncd_lri"
"label_cause","G14","ncd_lri"
"label_cause","G15","ncd_lri"
"label_cause","G16","ncd_lri"
"label_cause","G17","ncd_lri"
"label_cause","G18","ncd_lri"
"label_cause","G19","ncd_lri"
"label_cause","G20","ncd_lri"
"label_cause","G21","ncd_lri"
"label_cause","G22","ncd_lri"
"label_cause","G23","ncd_lri"
"label_cause","G24","ncd_lri"
"label_cause","G25","ncd_lri"
"label_cause","G26","ncd_lri"
"label_cause","G27","ncd_lri"
"label_cause","G28","ncd_lri"
"label_cause","G29","ncd_lri"
"label_cause","G30","ncd_lri"
"label_cause","G31","ncd_lri"
"label_cause","G32","ncd_lri"
"label_cause","G33","ncd_lri"
"label_cause","G34","ncd_lri"
"label_cause","G35","ncd_lri"
"label_cause","G36","ncd_lri"
"label_cause","G37","ncd_lri"
"label_cause","G38","ncd_lri"
"label_cause","G39","ncd_lri"
"label_cause","G40","ncd_lri"
"label_cause","G41","ncd_lri"
"label_cause","G42","ncd_lri"
"label_cause","G43","ncd_lri"
"label_cause","G44","ncd_lri"
"label_cause","G45","ncd_lri"
"label_cause","G46","ncd_lri"
"label_cause","G47","ncd_lri"
"label_cause","G48","ncd_lri"
"label_cause","G49","ncd_lri"
"label_cause","G50","ncd_lri"
"label_cause","G51","ncd_lri"
"label_cause","G52","ncd_lri"
"label_cause","G53","ncd_lri"
"label_cause","G54","ncd_lri"
"label_cause","G55","ncd_lri"
"label_cause","G56","ncd_lri"
"label_cause","G57","ncd_lri"
"label_cause","G58","ncd_lri"
"label_cause","G59","ncd_lri"
"label_cause","G60","ncd_lri"
"label_cause","G61","ncd_lri"
"label_cause","G62","ncd_lri"
"label_cause","G63","ncd_lri"
"label_cause","G64","ncd_lri"
"label_cause","G65","ncd_lri"
"label_cause","G66","ncd_lri"
"label_cause","G67","ncd_lri"
"label_cause","G68","ncd_lri"
"label_cause","G69","ncd_lri"
"label_cause","G70","ncd_lri"
"label_cause","G71","ncd_lri"
"label_cause","G72","ncd_lri"
"label_cause","G73","ncd_lri"
"label_cause","G74","ncd_lri"
"label_cause","G75","ncd_lri"
"label_cause","G76","ncd_lri"
"label_cause","G77","ncd_lri"
"label_cause","G78","ncd_lri"
"label_cause","G79","ncd_lri"
"label_cause","G80","ncd_lri"
"label_cause","G81","ncd_lri"
"label_cause","G82","ncd_lri"
"label_cause","G83","ncd_lri"
"label_cause","G84","ncd_lri"
"label_cause","G85","ncd_lri"
"label_cause","G86","ncd_lri"
"label_cause","G87","ncd_lri"
"label_cause","G88","ncd_lri"
"label_cause","G89","ncd_lri"
"label_cause","G90","ncd_lri"
"label_cause","G91","ncd_lri"
"label_cause","G92","ncd_lri"
"label_cause","G93","ncd_lri"
"label_cause","G94","ncd_lri"
"label_cause","G95","ncd_lri"
"label_cause","G96","ncd_lri"
"label_cause","G97","ncd_lri"
"label_cause","G98","ncd_lri"
"label_cause","H00","ncd_lri"
"label_cause","H01","ncd_lri"
"label_cause","H02","ncd_lri"
"label_cause","H03","ncd_lri"
"label_cause","H04","ncd_lri"
"label_cause","H05","ncd_lri"
"label_cause","H06","ncd_lri"
"label_cause","H07","ncd_lri"
"label_cause","H08","ncd_lri"
"label_cause","H09","ncd_lri"
"label_cause","H10","ncd_lri"
"label_cause","H11","ncd_lri"
"label_cause","H12","ncd_lri"
"label_cause","H13","ncd_lri"
"label_cause","H14","ncd_lri"
"label_cause","H15","ncd_lri"
"label_cause","H16","ncd_lri"
"label_cause","H17","ncd_lri"
"label_cause","H18","ncd_lri"
"label_cause","H19","ncd_lri"
"label_cause","H20","ncd_lri"
"label_cause","H21","ncd_lri"
"label_cause","H22","ncd_lri"
"label_cause","H23","ncd_lri"
"label_cause","H24","ncd_lri"
"label_cause","H25","ncd_lri"
"label_cause","H26","ncd_lri"
"label_cause","H27","ncd_lri"
"label_cause","H28","ncd_lri"
"label_cause","H29","ncd_lri"
"label_cause","H30","ncd_lri"
"label_cause","H31","ncd_lri"
"label_cause","H32","ncd_lri"
"label_cause","H33","ncd_lri"
"label_cause","H34","ncd_lri"
"label_cause","H35","ncd_lri"
"label_cause","H36","ncd_lri"
"label_cause","H37","ncd_lri"
"label_cause","H38","ncd_lri"
"label_cause","H39","ncd_lri"
"label_cause","H40","ncd_lri"
"label_cause","H41","ncd_lri"
"label_cause","H42","ncd_lri"
"label_cause","H43","ncd_lri"
"label_cause","H44","ncd_lri"
"label_cause","H45","ncd_lri"
"label_cause","H46","ncd_lri"
"label_cause","H47","ncd_lri"
"label_cause","H48","ncd_lri"
"label_cause","H49","ncd_lri"
"label_cause","H50","ncd_lri"
"label_cause","H51","ncd_lri"
"label_cause","H52","ncd_lri"
"label_cause","H53","ncd_lri"
"label_cause","H54","ncd_lri"
"label_cause","H55","ncd_lri"
"label_cause","H56","ncd_lri"
"label_cause","H57","ncd_lri"
"label_cause","H58","ncd_lri"
"label_cause","H59","ncd_lri"
"label_cause","H60","ncd_lri"
"label_cause","H61","ncd_lri"
"label_cause","H68","ncd_lri"
"label_cause","H69","ncd_lri"
"label_cause","H70","ncd_lri"
"label_cause","H71","ncd_lri"
"label_cause","H72","ncd_lri"
"label_cause","H73","ncd_lri"
"label_cause","H74","ncd_lri"
"label_cause","H75","ncd_lri"
"label_cause","H76","ncd_lri"
"label_cause","H77","ncd_lri"
"label_cause","H78","ncd_lri"
"label_cause","H79","ncd_lri"
"label_cause","H80","ncd_lri"
"label_cause","H81","ncd_lri"
"label_cause","H82","ncd_lri"
"label_cause","H83","ncd_lri"
"label_cause","H84","ncd_lri"
"label_cause","H85","ncd_lri"
"label_cause","H86","ncd_lri"
"label_cause","H87","ncd_lri"
"label_cause","H88","ncd_lri"
"label_cause","H89","ncd_lri"
"label_cause","H90","ncd_lri"
"label_cause","H91","ncd_lri"
"label_cause","H92","ncd_lri"
"label_cause","H93","ncd_lri"
"label_cause","I00","ncd_lri"
"label_cause","I01","ncd_lri"
"label_cause","I02","ncd_lri"
"label_cause","I03","ncd_lri"
"label_cause","I04","ncd_lri"
